merchant_a,merchant_b,edge_weight
1,35,0.04
1,97,0.04
1,116,0.04
1,140,0.04
1,182,0.04
1,193,0.04
1,239,0.04
1,264,0.04
1,376,0.04
1,382,0.04
2,27,0.04
2,31,0.04
2,48,0.04
2,86,0.06
2,116,0.04
2,130,0.04
2,151,0.04
2,155,0.04
2,172,0.04
2,190,0.04
2,195,0.04
2,222,0.04
2,239,0.04
2,251,0.04
2,254,0.04
2,255,0.04
2,258,0.06
2,260,0.04
2,302,0.04
2,303,0.04
2,323,0.04
2,393,0.04
2,397,0.06
2,498,0.04
3,221,0.04
3,332,0.04
3,389,0.04
3,391,0.04
3,500,0.04
4,109,0.04
4,121,0.04
4,125,0.04
4,126,0.04
4,330,0.04
4,472,0.04
4,498,0.04
5,55,0.04
5,65,0.04
5,89,0.04
5,111,0.04
5,170,0.04
5,195,0.04
5,217,0.06
5,296,0.04
5,316,0.04
5,395,0.04
5,445,0.04
5,452,0.04
5,484,0.04
6,245,0.04
7,22,0.04
7,389,0.06
8,27,0.04
8,163,0.04
8,173,0.04
8,197,0.04
8,211,0.04
8,228,0.04
8,342,0.04
8,403,0.04
8,491,0.04
9,41,0.04
9,60,0.04
9,180,0.04
9,346,0.04
9,475,0.04
10,140,0.04
10,284,0.04
11,66,0.04
11,151,0.04
11,258,0.04
11,270,0.04
11,303,0.04
11,327,0.04
11,334,0.06
11,410,0.04
11,414,0.04
11,429,0.04
12,66,0.04
12,89,0.04
12,110,0.04
12,117,0.04
12,144,0.04
12,170,0.04
12,267,0.04
12,356,0.04
12,432,0.04
13,163,0.04
13,220,0.04
13,363,0.04
13,426,0.04
13,427,0.04
13,450,0.04
13,456,0.04
13,480,0.04
14,43,0.04
14,117,0.04
14,142,0.04
14,373,0.04
14,375,0.04
14,435,0.04
15,57,0.04
15,111,0.04
15,138,0.04
15,423,0.04
16,35,0.04
16,42,0.04
16,95,0.04
16,170,0.04
16,325,0.04
16,385,0.04
16,450,0.04
16,452,0.06
16,471,0.04
17,92,0.04
17,109,0.04
17,268,0.04
17,292,0.04
17,395,0.04
17,484,0.04
18,188,0.04
18,238,0.04
18,412,0.04
19,35,0.04
19,95,0.04
19,114,0.04
19,158,0.04
19,225,0.04
19,256,0.04
19,281,0.04
19,332,0.04
19,344,0.04
19,375,0.04
19,383,0.04
19,450,0.04
19,461,0.06
19,468,0.04
20,22,0.04
20,132,0.04
20,281,0.04
20,289,0.04
20,291,0.04
20,472,0.04
21,321,0.04
22,7,0.04
22,20,0.04
22,118,0.04
22,132,0.04
22,133,0.04
22,140,0.04
22,160,0.04
22,197,0.04
22,239,0.04
22,275,0.04
22,396,0.04
22,496,0.04
23,89,0.04
23,124,0.04
23,198,0.06
23,316,0.04
23,325,0.04
23,348,0.04
23,373,0.04
24,426,0.04
25,158,0.06
25,221,0.04
25,323,0.04
25,344,0.06
25,416,0.04
26,29,0.04
26,36,0.04
26,48,0.04
26,85,0.06
26,133,0.04
26,249,0.04
26,257,0.04
26,279,0.04
26,286,0.04
26,300,0.04
26,328,0.04
26,365,0.06
26,387,0.04
26,469,0.06
27,2,0.04
27,8,0.04
27,31,0.06
27,60,0.04
27,100,0.04
27,117,0.04
27,121,0.04
27,158,0.08
27,166,0.04
27,197,0.04
27,207,0.04
27,208,0.04
27,211,0.04
27,227,0.04
27,241,0.04
27,256,0.04
27,276,0.06
27,277,0.04
27,280,0.04
27,281,0.04
27,303,0.04
27,311,0.04
27,347,0.04
27,348,0.04
27,353,0.04
27,360,0.04
27,363,0.04
27,379,0.04
27,382,0.08
27,411,0.06
27,424,0.04
27,426,0.04
27,436,0.04
27,440,0.04
27,468,0.04
27,480,0.04
27,483,0.06
27,486,0.04
27,494,0.04
28,106,0.04
28,170,0.04
28,183,0.04
28,214,0.04
28,235,0.04
28,293,0.04
28,401,0.04
29,26,0.04
29,91,0.04
29,113,0.04
29,123,0.04
29,150,0.04
29,336,0.04
29,365,0.04
30,59,0.04
30,60,0.04
30,64,0.04
30,111,0.04
30,149,0.04
30,154,0.04
30,289,0.04
30,300,0.04
30,384,0.04
30,424,0.04
31,2,0.04
31,27,0.06
31,41,0.08
31,45,0.04
31,84,0.04
31,102,0.04
31,146,0.04
31,195,0.04
31,211,0.06
31,254,0.04
31,284,0.04
31,346,0.04
31,348,0.04
31,469,0.04
31,474,0.04
31,492,0.04
32,54,0.04
32,64,0.04
32,130,0.04
32,228,0.04
32,247,0.04
32,264,0.04
32,275,0.04
32,417,0.04
32,471,0.04
33,57,0.04
33,86,0.04
33,171,0.04
33,234,0.04
33,303,0.04
33,368,0.04
33,404,0.04
33,450,0.04
33,498,0.04
34,65,0.04
