txn_id,merchant_id,cardholder_id,amount,status,txn_date,refund_flag,decline_reason
1,160,235,41.84,completed,2023-10-01,0,
2,216,1350,10.7,completed,2023-10-01,0,
3,386,1564,18.47,completed,2023-10-01,0,
4,497,589,45.76,completed,2023-10-01,0,
5,361,463,40.85,completed,2023-10-01,0,
6,147,586,17.0,completed,2023-10-01,0,
7,39,691,24.04,completed,2023-10-01,0,
8,30,1026,31.84,completed,2023-10-01,0,
9,409,1879,21.95,completed,2023-10-01,1,
10,40,717,11.86,completed,2023-10-01,0,
11,33,1410,18.57,completed,2023-10-01,0,
12,424,1446,37.93,completed,2023-10-01,0,
13,92,1671,68.35,failed,2023-10-01,0,processing_error
14,232,1487,16.95,completed,2023-10-01,0,
15,450,482,10.83,completed,2023-10-01,0,
16,425,590,34.36,completed,2023-10-01,0,
17,187,1398,14.37,completed,2023-10-01,0,
18,32,702,10.65,completed,2023-10-01,0,
19,337,841,248.51,completed,2023-10-01,0,
20,110,48,29.78,completed,2023-10-01,0,
21,286,1068,38.15,completed,2023-10-01,0,
22,382,692,39.4,completed,2023-10-01,0,
23,91,644,32.21,completed,2023-10-01,0,
24,214,1978,65.72,completed,2023-10-01,0,
25,5,384,34.64,completed,2023-10-01,0,
26,212,542,22.27,completed,2023-10-01,0,
27,466,1217,4.9,completed,2023-10-01,0,
28,484,1335,77.56,completed,2023-10-01,0,
29,40,530,33.55,completed,2023-10-01,0,
30,450,1711,199.84,completed,2023-10-01,0,
31,493,1530,24.38,completed,2023-10-01,0,
32,455,1515,161.03,completed,2023-10-01,0,
33,277,1110,14.02,completed,2023-10-01,0,
34,58,1980,26.92,completed,2023-10-01,0,
35,52,166,23.2,completed,2023-10-01,0,
36,308,489,17.75,failed,2023-10-01,0,merchant_limit_exceeded
37,214,157,9.45,completed,2023-10-01,0,
38,484,1099,64.28,completed,2023-10-01,0,
39,108,24,89.66,completed,2023-10-01,0,
40,373,214,30.08,completed,2023-10-01,0,
41,381,679,52.47,completed,2023-10-01,0,
42,315,1071,91.2,completed,2023-10-01,0,
43,365,1306,44.94,completed,2023-10-01,0,
44,109,523,74.23,completed,2023-10-01,0,
45,445,43,26.41,completed,2023-10-01,0,
46,256,1538,23.31,failed,2023-10-01,0,merchant_limit_exceeded
47,104,654,19.79,completed,2023-10-01,0,
48,136,1447,113.89,completed,2023-10-01,0,
49,215,1324,43.5,completed,2023-10-01,0,
